report_file,format,sl_no,project_name,agency,project_code,state,ministry,sector,approval_date,revised_start_date,target_doc,revised_doc,original_cost_cr,revised_cost_cr,cumulative_expenditure_cr,physical_progress_pct,participating_states,is_multi_state,state_standardized,progress_invalid_flag,expenditure_invalid_flag,expenditure_above_original_flag,expenditure_above_revised_flag,approval_date_invalid_flag,revised_start_date_invalid_flag,target_doc_invalid_flag,revised_doc_invalid_flag,snapshot_date,project_name_normalized,project_id,prev_progress,prev_expenditure,prev_revised_cost,progress_growth,expenditure_growth,cost_growth,expenditure_vs_original_ratio,expenditure_vs_revised_ratio,months_since_prev_snapshot,progress_velocity,expenditure_velocity,cost_overrun_ratio,cost_overrun_cr,planned_duration_days,elapsed_duration_days,planned_end_date,time_elapsed_ratio,expected_progress_pct,progress_gap,schedule_pressure,remaining_progress_pct,expenditure_intensity
FRApril2025.pdf,old,284,GEVRA EXPANSION OCP (SECL) (35-70) MTY,SECL,060100093,BIHAR,,URBAN DEVELOPMENT,2010-06-01,,2023-03-01,2026-03-01,11816.4,,6584.29,77.2,['BIHAR'],False,BIHAR,False,False,False,False,False,False,False,False,2025-04-01,GEVRA EXPANSION OCP (SECL) (35-70) MTY,060100093_GEVRA EXPANSION OCP (SECL) (35-70) MTY,,,,,,,0.5572162418333841,,,,,,,,,2026-03-01,,,,,22.799999999999997,0.721782696675368
FR_May2025.pdf,old,284,GEVRA EXPANSION OCP (SECL) (35-70) MTY,SECL,060100093,CHHATTISGARH,,WATER RESOURCES,2010-06-01,,2023-03-01,2026-03-01,11816.4,,6596.25,77.2,['CHHATTISGARH'],False,CHHATTISGARH,False,False,False,False,False,False,False,False,2025-05-01,GEVRA EXPANSION OCP (SECL) (35-70) MTY,060100093_GEVRA EXPANSION OCP (SECL) (35-70) MTY,77.2,6584.29,,0.0,11.960000000000036,,0.5582283944348533,,0.9855453350854139,0.0,12.135413333333371,,,,,2026-03-01,,,,,22.799999999999997,0.7230937751746804
FR_JUNE_2025.pdf,old,282,GEVRA EXPANSION OCP (SECL) (35-70) MTY,SECL,060100093,BIHAR,,URBAN DEVELOPMENT,2010-06-01,,2023-03-01,2026-03-01,11816.4,,6617.04,77.2,['BIHAR'],False,BIHAR,False,False,False,False,False,False,False,False,2025-06-01,GEVRA EXPANSION OCP (SECL) (35-70) MTY,060100093_GEVRA EXPANSION OCP (SECL) (35-70) MTY,77.2,6596.25,,0.0,20.789999999999964,,0.5599878135472733,,1.0183968462549278,0.0,20.414438709677384,,,,,2026-03-01,,,,,22.799999999999997,0.7253728154757426
FlashReport_March_2026.pdf,new,32,GEVRA OC [70 MTY] (South Eastern Coalfields Limited [SECL]),400424,060100093,CHHATTISGARH,Ministry of Coal,Coal,2016-03-01,2016-03-01,2023-03-01,,11816.4,11816.4,6905.46,78.48,['CHHATTISGARH'],False,CHHATTISGARH,False,False,False,False,False,False,False,False,2026-03-01,GEVRA OC [70 MTY] (SOUTH EASTERN COALFIELDS LIMITED [SECL]),060100093_GEVRA OC [70 MTY] (SOUTH EASTERN COALFIELDS LIMITED [SECL]),,,,,,,0.5843962628211639,0.5843962628211639,,,,0.0,0.0,2556.0,3652.0,2023-03-01,1.4287949921752738,100.0,-21.519999999999996,21.519999999999996,21.519999999999996,0.7446435560922067
FlashReport_April2026.pdf,new,405,C2/C3 Vijaipur Pata Pipeline (Ministry of Petroleum & Natural Gas) (617830),,10000,MADHYA PRADESH,Ministry of Petroleum & Natural Gas,Oil & Gas,2024-05-01,2024-05-01,,,1792.0,1792.0,488.0,65.2,['MADHYA PRADESH'],False,MADHYA PRADESH,False,False,False,False,False,False,False,False,2026-04-01,C2/C3 VIJAIPUR PATA PIPELINE (MINISTRY OF PETROLEUM & NATURAL GAS) (617830),10000_C2/C3 VIJAIPUR PATA PIPELINE (MINISTRY OF PETROLEUM & NATURAL GAS) (617830),,,,,,,0.27232142857142855,0.27232142857142855,,,,0.0,0.0,,700.0,,,,,,34.8,0.4176709027169149
FlashReport_May2026.pdf,new,395,C2/C3 Vijaipur Pata Pipeline (Ministry of Petroleum & Natural Gas) (617830),,10000,MADHYA PRADESH,Ministry of Petroleum & Natural Gas,Oil & Gas,2024-05-01,2024-05-01,,,1792.0,1792.0,488.0,68.2,['MADHYA PRADESH'],False,MADHYA PRADESH,False,False,False,False,False,False,False,False,2026-05-01,C2/C3 VIJAIPUR PATA PIPELINE (MINISTRY OF PETROLEUM & NATURAL GAS) (617830),10000_C2/C3 VIJAIPUR PATA PIPELINE (MINISTRY OF PETROLEUM & NATURAL GAS) (617830),65.2,488.0,1792.0,3.0,0.0,0.0,0.27232142857142855,0.27232142857142855,0.9855453350854139,3.044,0.0,0.0,0.0,,730.0,,,,,,31.799999999999997,0.3992982823627984
FlashReport_April2026.pdf,new,368,Coke Drum Structure Package (Ministry of Petroleum & Natural Gas) (617836),,10009,ASSAM,Ministry of Petroleum & Natural Gas,Oil & Gas,2022-12-01,2022-12-01,2025-12-01,2026-09-01,635.28,635.28,453.66,60.6,['ASSAM'],False,ASSAM,False,False,False,False,False,False,False,False,2026-04-01,COKE DRUM STRUCTURE PACKAGE (MINISTRY OF PETROLEUM & NATURAL GAS) (617836),10009_COKE DRUM STRUCTURE PACKAGE (MINISTRY OF PETROLEUM & NATURAL GAS) (617836),,,,,,,0.7141103135625236,0.7141103135625236,,,,0.0,0.0,1370.0,1217.0,2026-09-01,0.8883211678832117,88.83211678832117,-28.23211678832117,28.23211678832117,39.4,1.1783998573639005
FlashReport_May2026.pdf,new,358,Coke Drum Structure Package (Ministry of Petroleum & Natural Gas) (617836),,10009,ASSAM,Ministry of Petroleum & Natural Gas,Oil & Gas,2022-12-01,2022-12-01,2025-12-01,2026-09-01,635.28,635.28,543.0,69.0,['ASSAM'],False,ASSAM,False,False,False,False,False,False,False,False,2026-05-01,COKE DRUM STRUCTURE PACKAGE (MINISTRY OF PETROLEUM & NATURAL GAS) (617836),10009_COKE DRUM STRUCTURE PACKAGE (MINISTRY OF PETROLEUM & NATURAL GAS) (617836),60.6,453.66,635.28,8.399999999999999,89.33999999999997,0.0,0.8547412164714772,0.8547412164714772,0.9855453350854139,8.5232,90.65031999999998,0.0,0.0,1370.0,1247.0,2026-09-01,0.9102189781021898,91.02189781021897,-22.021897810218974,22.021897810218974,31.0,1.2387553861905467
FlashReport_April2026.pdf,new,403,Augmentation of CCKPL and IDPL Pipelines capacity along with setting up of Palakkad TOP (Ministry of Petroleum & Natural Gas) (617838),,10010,KERALA,Ministry of Petroleum & Natural Gas,Oil & Gas,2024-09-01,2024-09-01,,,1130.0,1130.0,268.98,36.2,['KERALA'],False,KERALA,False,False,False,False,False,False,False,False,2026-04-01,AUGMENTATION OF CCKPL AND IDPL PIPELINES CAPACITY ALONG WITH SETTING UP OF PALAKKAD TOP (MINISTRY OF PETROLEUM & NATURAL GAS) (617838),10010_AUGMENTATION OF CCKPL AND IDPL PIPELINES CAPACITY ALONG WITH SETTING UP OF PALAKKAD TOP (MINISTRY OF PETROLEUM & NATURAL GAS) (617838),,,,,,,0.2380353982300885,0.2380353982300885,,,,0.0,0.0,,577.0,,,,,,63.8,0.6575563487019019
FlashReport_May2026.pdf,new,393,Augmentation of CCKPL and IDPL Pipelines capacity along with setting up of Palakkad TOP (Ministry of Petroleum & Natural Gas) (617838),,10010,KERALA,Ministry of Petroleum & Natural Gas,Oil & Gas,2024-09-01,2024-09-01,,,1130.0,1130.0,284.58,41.0,['KERALA'],False,KERALA,False,False,False,False,False,False,False,False,2026-05-01,AUGMENTATION OF CCKPL AND IDPL PIPELINES CAPACITY ALONG WITH SETTING UP OF PALAKKAD TOP (MINISTRY OF PETROLEUM & NATURAL GAS) (617838),10010_AUGMENTATION OF CCKPL AND IDPL PIPELINES CAPACITY ALONG WITH SETTING UP OF PALAKKAD TOP (MINISTRY OF PETROLEUM & NATURAL GAS) (617838),36.2,268.98,1130.0,4.799999999999997,15.599999999999966,0.0,0.25184070796460173,0.25184070796460173,0.9855453350854139,4.870399999999997,15.828799999999966,0.0,0.0,,607.0,,,,,,59.0,0.6142456291819555
